time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447899766	9.7372	-9.88953	-2.82687	1.92816	-0.143045	lidar	0.638654	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.75224	-10.0291	-2.76759	1.88501	-0.192142	radar	3.87363	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.78653	-10.1716	-2.76137	1.8677	-0.199109	lidar	0.178247	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.82521	-10.3083	-2.75995	1.8534	-0.205659	radar	0.50958	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.835	-10.4546	-2.76574	1.82128	-0.22735	lidar	0.408193	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.87737	-10.6008	-2.78022	1.81852	-0.211755	radar	0.860691	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.8982	-10.7543	-2.78161	1.7954	-0.223141	lidar	0.13404	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.90334	-10.9002	-2.74287	1.75375	-0.265152	radar	2.14473	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.9069	-11.0534	-2.74363	1.72324	-0.280976	lidar	0.297388	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.92283	-11.1882	-2.74228	1.70681	-0.283404	radar	0.0691766	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.9156	-11.3346	-2.75008	1.67424	-0.30132	lidar	0.311177	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.92925	-11.4745	-2.75585	1.66008	-0.299101	radar	0.0739957	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.91311	-11.6215	-2.76398	1.62541	-0.318248	lidar	0.397946	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.84271	-11.7485	-2.67943	1.52068	-0.448326	radar	15.9639	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.81621	-11.8803	-2.6771	1.48639	-0.460139	lidar	0.313562	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.79319	-12.0109	-2.67059	1.45367	-0.473175	radar	0.195262	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.74685	-12.1502	-2.68013	1.40994	-0.492357	lidar	0.507453	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.67921	-12.2772	-2.65056	1.3293	-0.574831	radar	5.05571	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.62577	-12.4004	-2.64797	1.28749	-0.587717	lidar	0.466982	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.5074	-12.5081	-2.607	1.16185	-0.726762	radar	11.8117	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.43537	-12.6184	-2.60224	1.11334	-0.738852	lidar	0.53827	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.35602	-12.7412	-2.5985	1.05564	-0.763512	radar	0.326992	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.27243	-12.85	-2.58742	1.00526	-0.772586	lidar	0.54366	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.0995	-12.9277	-2.57566	0.830247	-0.972691	radar	22.1072	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	8.9757	-13.0143	-2.58626	0.758912	-0.99314	lidar	1.19533	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.82694	-13.0909	-2.59475	0.6486	-1.07254	radar	3.15592	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.70346	-13.1545	-2.58093	0.579822	-1.08359	lidar	0.728853	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.55231	-13.2019	-2.60124	0.466595	-1.17002	radar	3.81613	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.42093	-13.2425	-2.59865	0.395627	-1.18196	lidar	0.606574	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.236	-13.2593	-2.63849	0.25243	-1.29689	radar	7.16561	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.08507	-13.2691	-2.63029	0.166879	-1.31148	lidar	0.856626	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.9264	-13.2707	-2.64253	0.0712352	-1.34321	radar	1.07983	7.82914	-13.0525	7.9	-13.15	-2.72986	0
